BCF08232000,2023-08-01
BCF08232001,2023-08-01
BCF08232002,2023-08-01
BCF08232003,2023-08-01
BCF08232004,2023-08-01
BCF08232005,2023-08-01
BCF08232006,2023-08-01
BCF08232007,2023-08-01
BCF08232008,2023-08-01
BCF08232009,2023-08-01
BCF08232010,2023-08-01
BCF08232011,2023-08-01
BCF08232012,2023-08-01
BCF08232013,2023-08-01
BCF08232014,2023-08-01
BCF08232015,2023-08-01
BCF08232016,2023-08-01
BCF08232017,2023-08-01
BCF08232018,2023-08-01
BCF08232019,2023-08-01
BCF08232020,2023-08-01
BCF08232021,2023-08-01
BCF08232022,2023-08-01
BCF08232023,2023-08-01
BCF08232024,2023-08-01
BCF08232025,2023-08-01
BCF08232026,2023-08-01
BCF08232027,2023-08-01
BCF08232028,2023-08-01
BCF08232029,2023-08-01
BCF08232030,2023-08-01
BCF08232031,2023-08-01
BCF08232032,2023-08-01
BCF08232033,2023-08-01
BCF08232034,2023-08-01
BCF08232035,2023-08-01
BCF08232036,2023-08-01
BCF08232037,2023-08-01
BCF08232038,2023-08-01
BCF08232039,2023-08-01
BCF08232040,2023-08-01
BCF08232041,2023-08-01
BCF08232042,2023-08-01
BCF08232043,2023-08-01
BCF08232044,2023-08-01
BCF08232045,2023-08-01
BCF08232046,2023-08-01
BCF08232047,2023-08-01
BCF08232048,2023-08-01
BCF08232049,2023-08-01
BCF08232050,2023-08-01
BCF08232051,2023-08-01
BCF08232052,2023-08-01
BCF08232053,2023-08-01
BCF08232054,2023-08-01
BCF08232055,2023-08-01
BCF08232056,2023-08-01
BCF08232057,2023-08-01
BCF08232058,2023-08-01
BCF08232059,2023-08-01
BCF08232060,2023-08-01
BCF08232061,2023-08-01
BCF08232062,2023-08-01
BCF08232063,2023-08-01
BCF08232064,2023-08-01
BCF08232065,2023-08-01
BCF08232066,2023-08-01
BCF08232067,2023-08-01
BCF08232068,2023-08-01
BCF08232069,2023-08-01
BCF08232070,2023-08-01
BCF08232071,2023-08-01
BCF08232072,2023-08-01
BCF08232073,2023-08-01
BCF08232074,2023-08-01
BCF08232075,2023-08-01
BCF08232076,2023-08-01
BCF08232077,2023-08-01
BCF08232078,2023-08-01
BCF08232079,2023-08-01
BCF08232080,2023-08-01
BCF08232081,2023-08-01
BCF08232082,2023-08-01
BCF08232083,2023-08-01
BCF08232084,2023-08-01
BCF08232085,2023-08-01
BCF08232086,2023-08-01
BCF08232087,2023-08-01
BCF08232088,2023-08-01
BCF08232089,2023-08-01
BCF08232090,2023-08-01
BCF08232091,2023-08-01
BCF08232092,2023-08-01
BCF08232093,2023-08-01
BCF08232094,2023-08-01
BCF08232095,2023-08-01
BCF08232096,2023-08-01
BCF08232097,2023-08-01
BCF08232098,2023-08-01
BCF08232099,2023-08-01
BCF08232100,2023-08-01
BCF08232101,2023-08-01
BCF08232102,2023-08-01
BCF08232103,2023-08-01
BCF08232104,2023-08-01
