BCF09234000,2023-09-07
BCF09234001,2023-09-07
BCF09234002,2023-09-07
BCF09234003,2023-09-07
BCF09234004,2023-09-07
BCF09234005,2023-09-07
BCF09234006,2023-09-07
BCF09234007,2023-09-07
BCF09234008,2023-09-07
BCF09234009,2023-09-07
BCF09234010,2023-09-07
BCF09234011,2023-09-07
BCF09234012,2023-09-07
BCF09234013,2023-09-07
BCF09234014,2023-09-07
BCF09234015,2023-09-07
BCF09234016,2023-09-07
BCF09234017,2023-09-07
BCF09234018,2023-09-07
BCF09234019,2023-09-07
BCF09234020,2023-09-07
BCF09234021,2023-09-07
BCF09234022,2023-09-07
BCF09234023,2023-09-07
BCF09234024,2023-09-07
BCF09234025,2023-09-07
BCF09234026,2023-09-07
BCF09234027,2023-09-07
BCF09234028,2023-09-07
BCF09234029,2023-09-07
BCF09234030,2023-09-07
BCF09234031,2023-09-07
BCF09234032,2023-09-07
BCF09234033,2023-09-07
BCF09234034,2023-09-07
BCF09234035,2023-09-07
BCF09234036,2023-09-07
BCF09234037,2023-09-07
BCF09234038,2023-09-07
BCF09234039,2023-09-07
BCF09234040,2023-09-07
BCF09234041,2023-09-07
BCF09234042,2023-09-07
BCF09234043,2023-09-07
BCF09234044,2023-09-07
BCF09234045,2023-09-07
BCF09234046,2023-09-07
BCF09234047,2023-09-07
BCF09234048,2023-09-07
BCF09234049,2023-09-07
BCF09234050,2023-09-07
BCF09234051,2023-09-07
BCF09234052,2023-09-07
BCF09234053,2023-09-07
BCF09234054,2023-09-07
BCF09234055,2023-09-07
BCF09234056,2023-09-07
BCF09234057,2023-09-07
BCF09234058,2023-09-07
BCF09234059,2023-09-07
BCF09234060,2023-09-07
BCF09234061,2023-09-07
BCF09234062,2023-09-07
BCF09234063,2023-09-07
BCF09234064,2023-09-07
BCF09234065,2023-09-07
BCF09234066,2023-09-07
BCF09234067,2023-09-07
BCF09234068,2023-09-07
BCF09234069,2023-09-07
BCF09234070,2023-09-07
BCF09234071,2023-09-07
BCF09234072,2023-09-07
BCF09234073,2023-09-07
BCF09234074,2023-09-07
BCF09234075,2023-09-07
BCF09234076,2023-09-07
BCF09234077,2023-09-07
BCF09234078,2023-09-07
BCF09234079,2023-09-07
BCF09234080,2023-09-07
BCF09234081,2023-09-07
BCF09234082,2023-09-07
BCF09234083,2023-09-07
BCF09234084,2023-09-07
BCF09234085,2023-09-07
BCF09234086,2023-09-07
BCF09234087,2023-09-07
BCF09234088,2023-09-07
BCF09234089,2023-09-07
BCF09234090,2023-09-07
BCF09234091,2023-09-07
BCF09234092,2023-09-07
BCF09234093,2023-09-07
BCF09234094,2023-09-07
BCF09234095,2023-09-07
BCF09234096,2023-09-07
BCF09234097,2023-09-07
BCF09234098,2023-09-07
BCF09234099,2023-09-07
BCF09234100,2023-09-07
BCF09234101,2023-09-07
BCF09234102,2023-09-07
BCF09234103,2023-09-07
BCF09234104,2023-09-07
BCF09234105,2023-09-07
BCF09234106,2023-09-07
BCF09234107,2023-09-07
BCF09234108,2023-09-07
BCF09234109,2023-09-07
BCF09234110,2023-09-07
BCF09234111,2023-09-07
BCF09234112,2023-09-07
BCF09234113,2023-09-07
BCF09234114,2023-09-07
BCF09234115,2023-09-07
BCF09234116,2023-09-07
