BCF08232000;01/08/2023
BCF08232001;01/08/2023
BCF08232002;01/08/2023
BCF08232003;01/08/2023
BCF08232004;01/08/2023
BCF08232005;01/08/2023
BCF08232006;01/08/2023
BCF08232007;01/08/2023
BCF08232008;01/08/2023
BCF08232009;01/08/2023
BCF08232010;01/08/2023
BCF08232011;01/08/2023
BCF08232012;01/08/2023
BCF08232013;01/08/2023
BCF08232014;01/08/2023
BCF08232015;01/08/2023
BCF08232016;01/08/2023
BCF08232017;01/08/2023
BCF08232018;01/08/2023
BCF08232019;01/08/2023
BCF08232020;01/08/2023
BCF08232021;01/08/2023
BCF08232022;01/08/2023
BCF08232023;01/08/2023
BCF08232024;01/08/2023
BCF08232025;01/08/2023
BCF08232026;01/08/2023
BCF08232027;01/08/2023
BCF08232028;01/08/2023
BCF08232029;01/08/2023
BCF08232030;01/08/2023
BCF08232031;01/08/2023
BCF08232032;01/08/2023
BCF08232033;01/08/2023
BCF08232034;01/08/2023
BCF08232035;01/08/2023
BCF08232036;01/08/2023
BCF08232037;01/08/2023
BCF08232038;01/08/2023
BCF08232039;01/08/2023
BCF08232040;01/08/2023
BCF08232041;01/08/2023
BCF08232042;01/08/2023
BCF08232043;01/08/2023
BCF08232044;01/08/2023
BCF08232045;01/08/2023
BCF08232046;01/08/2023
BCF08232047;01/08/2023
BCF08232048;01/08/2023
BCF08232049;01/08/2023
BCF08232050;01/08/2023
BCF08232051;01/08/2023
BCF08232052;01/08/2023
BCF08232053;01/08/2023
BCF08232054;01/08/2023
BCF08232055;01/08/2023
BCF08232056;01/08/2023
BCF08232057;01/08/2023
BCF08232058;01/08/2023
BCF08232059;01/08/2023
BCF08232060;01/08/2023
BCF08232061;01/08/2023
BCF08232062;01/08/2023
BCF08232063;01/08/2023
BCF08232064;01/08/2023
BCF08232065;01/08/2023
BCF08232066;01/08/2023
BCF08232067;01/08/2023
BCF08232068;01/08/2023
BCF08232069;01/08/2023
BCF08232070;01/08/2023
BCF08232071;01/08/2023
BCF08232072;01/08/2023
BCF08232073;01/08/2023
BCF08232074;01/08/2023
BCF08232075;01/08/2023
BCF08232076;01/08/2023
BCF08232077;01/08/2023
BCF08232078;01/08/2023
BCF08232079;01/08/2023
BCF08232080;01/08/2023
BCF08232081;01/08/2023
BCF08232082;01/08/2023
BCF08232083;01/08/2023
BCF08232084;01/08/2023
BCF08232085;01/08/2023
BCF08232086;01/08/2023
BCF08232087;01/08/2023
BCF08232088;01/08/2023
BCF08232089;01/08/2023
BCF08232090;01/08/2023
BCF08232091;01/08/2023
BCF08232092;01/08/2023
BCF08232093;01/08/2023
BCF08232094;01/08/2023
BCF08232095;01/08/2023
BCF08232096;01/08/2023
BCF08232097;01/08/2023
BCF08232098;01/08/2023
BCF08232099;01/08/2023
BCF08232100;01/08/2023
BCF08232101;01/08/2023
BCF08232102;01/08/2023
BCF08232103;01/08/2023
BCF08232104;01/08/2023
BCF08232105;01/08/2023
BCF08232106;01/08/2023
BCF08232107;01/08/2023
BCF08232108;01/08/2023
BCF08232109;01/08/2023
BCF08232110;01/08/2023
BCF08232111;01/08/2023
BCF08232112;01/08/2023
BCF08232113;01/08/2023
BCF08232114;01/08/2023
BCF08232115;01/08/2023
BCF08232116;01/08/2023
BCF08232117;01/08/2023
BCF08232118;01/08/2023
BCF08232119;01/08/2023
BCF08232120;01/08/2023
BCF08232121;01/08/2023
BCF08232122;01/08/2023
